title,price,link,timestamp
A Light in the Attic,£51.77,https://books.toscrape.comcatalogue/a-light-in-the-attic_1000/index.html,2026-08-27T19:11:32.076606
Tipping the Velvet,£53.74,https://books.toscrape.comcatalogue/tipping-the-velvet_999/index.html,2026-08-27T19:11:32.076825
Soumission,£50.10,https://books.toscrape.comcatalogue/soumission_998/index.html,2026-08-27T19:11:32.076978
Sharp Objects,£47.82,https://books.toscrape.comcatalogue/sharp-objects_997/index.html,2026-08-27T19:11:32.077125
Sapiens: A Brief History of Humankind,£54.23,https://books.toscrape.comcatalogue/sapiens-a-brief-history-of-humankind_996/index.html,2026-08-27T19:11:32.077265
The Requiem Red,£22.65,https://books.toscrape.comcatalogue/the-requiem-red_995/index.html,2026-08-27T19:11:32.077419
The Dirty Little Secrets of Getting Your Dream Job,£33.34,https://books.toscrape.comcatalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2026-08-27T19:11:32.077561
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,https://books.toscrape.comcatalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2026-08-27T19:11:32.077711
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,https://books.toscrape.comcatalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2026-08-27T19:11:32.077856
The Black Maria,£52.15,https://books.toscrape.comcatalogue/the-black-maria_991/index.html,2026-08-27T19:11:32.077988
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,https://books.toscrape.comcatalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,2026-08-27T19:11:32.078188
Shakespeare's Sonnets,£20.66,https://books.toscrape.comcatalogue/shakespeares-sonnets_989/index.html,2026-08-27T19:11:32.078270
Set Me Free,£17.46,https://books.toscrape.comcatalogue/set-me-free_988/index.html,2026-08-27T19:11:32.078340
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,https://books.toscrape.comcatalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,2026-08-27T19:11:32.078403
Rip it Up and Start Again,£35.02,https://books.toscrape.comcatalogue/rip-it-up-and-start-again_986/index.html,2026-08-27T19:11:32.078464
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,https://books.toscrape.comcatalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,2026-08-27T19:11:32.078531
Olio,£23.88,https://books.toscrape.comcatalogue/olio_984/index.html,2026-08-27T19:11:32.078592
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,https://books.toscrape.comcatalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,2026-08-27T19:11:32.078653
Libertarianism for Beginners,£51.33,https://books.toscrape.comcatalogue/libertarianism-for-beginners_982/index.html,2026-08-27T19:11:32.078712
It's Only the Himalayas,£45.17,https://books.toscrape.comcatalogue/its-only-the-himalayas_981/index.html,2026-08-27T19:11:32.078775
